time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-25 00:00:00+00:00,126.0,69.0,6.0,3.0
2022-12-26 00:00:00+00:00,127.0,68.0,1.0,1.0
2022-12-27 00:00:00+00:00,83.0,58.0,5.0,3.0
2022-12-28 00:00:00+00:00,20.0,17.0,1.0,1.0
2022-12-29 00:00:00+00:00,4.0,2.0,6.0,3.0
2022-12-30 00:00:00+00:00,1.0,1.0,3.0,2.0
2022-12-31 00:00:00+00:00,,,2.0,2.0
2023-01-02 00:00:00+00:00,,,14.0,5.0
2023-01-03 00:00:00+00:00,25.0,21.0,,
2023-01-04 00:00:00+00:00,145.0,66.0,7.0,3.0
2023-01-05 00:00:00+00:00,85.0,48.0,18.0,4.0
2023-01-06 00:00:00+00:00,59.0,42.0,2.0,2.0
2023-01-07 00:00:00+00:00,72.0,42.0,9.0,4.0
